timestamp_us,motor[0],motor[1],motor[2],motor[3],motor[4],motor[5],motor[6],motor[7],motor[8],motor[9],motor[10],motor[11],servo[0],servo[1],servo[2],servo[3],servo[4],servo[5],servo[6],servo[7]
316000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005,0.0005,0.0002,-0.0002,nan,nan,nan,nan
320000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005,0.0005,0.0003,-0.0003,nan,nan,nan,nan
324000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0021,-0.0020,0.0003,-0.0003,nan,nan,nan,nan
328000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0048,-0.0044,0.0003,-0.0003,nan,nan,nan,nan
332000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0045,-0.0034,0.0003,-0.0003,nan,nan,nan,nan
336000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0034,0.0008,0.0002,-0.0003,nan,nan,nan,nan
340000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018,0.0036,0.0001,-0.0001,nan,nan,nan,nan
344000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0011,0.0028,0.0000,-0.0000,nan,nan,nan,nan
348000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0015,0.0010,-0.0000,0.0000,nan,nan,nan,nan
352000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0027,-0.0007,-0.0001,0.0001,nan,nan,nan,nan
356000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0080,-0.0025,-0.0002,0.0002,nan,nan,nan,nan
360000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0093,-0.0040,-0.0002,0.0003,nan,nan,nan,nan
364000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0055,-0.0035,-0.0002,0.0002,nan,nan,nan,nan
368000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0007,-0.0002,0.0002,nan,nan,nan,nan
372000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0022,0.0041,-0.0001,0.0002,nan,nan,nan,nan
376000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0021,0.0023,-0.0002,0.0002,nan,nan,nan,nan
380000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0005,-0.0007,-0.0002,0.0003,nan,nan,nan,nan
384000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023,-0.0010,-0.0003,0.0003,nan,nan,nan,nan
388000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0033,-0.0011,-0.0003,0.0003,nan,nan,nan,nan
392000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0022,-0.0016,-0.0002,0.0002,nan,nan,nan,nan
396000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015,-0.0003,-0.0002,0.0002,nan,nan,nan,nan
400000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016,0.0003,-0.0001,0.0001,nan,nan,nan,nan
404000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020,-0.0001,-0.0001,0.0001,nan,nan,nan,nan
408000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020,0.0008,-0.0001,0.0001,nan,nan,nan,nan
412000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0003,0.0011,-0.0001,0.0001,nan,nan,nan,nan
416000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0025,-0.0003,-0.0001,0.0001,nan,nan,nan,nan
420000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0036,-0.0012,-0.0000,0.0000,nan,nan,nan,nan
424000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0028,-0.0015,0.0000,-0.0000,nan,nan,nan,nan
428000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0011,-0.0010,0.0000,-0.0000,nan,nan,nan,nan
432000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011,-0.0002,0.0000,-0.0000,nan,nan,nan,nan
436000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0019,-0.0010,0.0000,-0.0000,nan,nan,nan,nan
440000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005,-0.0012,0.0000,-0.0000,nan,nan,nan,nan
444000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005,-0.0004,0.0001,-0.0001,nan,nan,nan,nan
448000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0021,0.0004,0.0001,-0.0001,nan,nan,nan,nan
452000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0036,0.0016,0.0002,-0.0002,nan,nan,nan,nan
456000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0034,0.0010,0.0003,-0.0003,nan,nan,nan,nan
460000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007,-0.0010,0.0003,-0.0003,nan,nan,nan,nan
464000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0016,-0.0016,0.0003,-0.0003,nan,nan,nan,nan
468000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0008,-0.0017,0.0003,-0.0003,nan,nan,nan,nan
472000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023,-0.0022,0.0003,-0.0003,nan,nan,nan,nan
476000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0040,-0.0015,0.0003,-0.0003,nan,nan,nan,nan
480000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023,-0.0000,0.0004,-0.0004,nan,nan,nan,nan
484000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0002,0.0004,0.0004,-0.0004,nan,nan,nan,nan
488000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0025,-0.0002,0.0004,-0.0004,nan,nan,nan,nan
492000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0042,0.0001,0.0003,-0.0003,nan,nan,nan,nan
496000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0030,0.0016,0.0002,-0.0003,nan,nan,nan,nan
500000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0008,0.0002,-0.0002,nan,nan,nan,nan
504000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015,-0.0020,0.0001,-0.0001,nan,nan,nan,nan
508000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016,-0.0023,0.0001,-0.0001,nan,nan,nan,nan
512000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007,-0.0016,0.0001,-0.0001,nan,nan,nan,nan
516000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0008,-0.0027,0.0001,-0.0001,nan,nan,nan,nan
520000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0008,-0.0035,0.0001,-0.0002,nan,nan,nan,nan
524000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0006,-0.0017,0.0002,-0.0002,nan,nan,nan,nan
528000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0008,0.0013,0.0002,-0.0002,nan,nan,nan,nan
532000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0004,0.0025,0.0002,-0.0002,nan,nan,nan,nan
536000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016,0.0021,0.0002,-0.0002,nan,nan,nan,nan
540000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0037,0.0019,0.0003,-0.0003,nan,nan,nan,nan
544000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0043,0.0014,0.0003,-0.0003,nan,nan,nan,nan
548000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0052,0.0006,0.0004,-0.0004,nan,nan,nan,nan
552000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0051,-0.0003,0.0005,-0.0005,nan,nan,nan,nan
556000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012,-0.0010,0.0005,-0.0006,nan,nan,nan,nan
560000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0036,-0.0003,0.0005,-0.0005,nan,nan,nan,nan
564000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0048,0.0007,0.0003,-0.0004,nan,nan,nan,nan
568000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0032,0.0012,0.0002,-0.0003,nan,nan,nan,nan
572000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0012,0.0016,0.0002,-0.0002,nan,nan,nan,nan
576000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0002,0.0013,0.0002,-0.0002,nan,nan,nan,nan
580000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0017,0.0008,0.0002,-0.0002,nan,nan,nan,nan
584000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0035,0.0006,0.0001,-0.0002,nan,nan,nan,nan
588000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0020,-0.0003,0.0002,-0.0002,nan,nan,nan,nan
592000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0008,-0.0018,0.0002,-0.0003,nan,nan,nan,nan
596000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0008,-0.0029,0.0003,-0.0003,nan,nan,nan,nan
600000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012,-0.0032,0.0002,-0.0002,nan,nan,nan,nan
604000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0014,-0.0027,0.0001,-0.0001,nan,nan,nan,nan
608000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0010,-0.0018,0.0001,-0.0001,nan,nan,nan,nan
612000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0019,-0.0003,0.0001,-0.0001,nan,nan,nan,nan
616000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0018,0.0003,0.0001,-0.0001,nan,nan,nan,nan
620000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0018,0.0002,0.0000,-0.0000,nan,nan,nan,nan
624000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0026,0.0015,0.0000,-0.0000,nan,nan,nan,nan
628000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0043,0.0031,0.0001,-0.0001,nan,nan,nan,nan
632000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0037,0.0019,0.0002,-0.0002,nan,nan,nan,nan
636000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016,-0.0002,0.0002,-0.0002,nan,nan,nan,nan
640000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0062,-0.0004,0.0002,-0.0002,nan,nan,nan,nan
644000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0027,-0.0001,0.0001,-0.0001,nan,nan,nan,nan
648000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0031,-0.0009,0.0000,-0.0001,nan,nan,nan,nan
652000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0023,-0.0015,-0.0000,0.0000,nan,nan,nan,nan
656000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0017,-0.0001,-0.0001,0.0001,nan,nan,nan,nan
660000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0026,0.0027,-0.0001,0.0001,nan,nan,nan,nan
664000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0007,0.0033,-0.0001,0.0001,nan,nan,nan,nan
